Relative Time (s),src IP,dst IP,IP protocol,TCP src port,TCP dst port,UDP src port,UDP dst port,Frame Length
0,IP A,IP B,6,8864,22,,,66
0.010267152,,,,,,,,56
0.010279941,,,,,,,,42
0.438433825,IP B,IP A,6,22,8864,,,110
0.609365486,IP A,IP B,6,8864,22,,,66
0.950515954,IP B,IP A,6,22,8864,,,110
1.120039749,IP A,IP B,6,8864,22,,,66
1.462570232,IP B,IP A,6,22,8864,,,110
1.587607691,IP C,IP B,6,48018,443,,,66
1.587646662,IP B,IP C,6,443,48018,,,66
1.630529631,IP A,IP B,6,8864,22,,,66
1.974437693,IP B,IP A,6,22,8864,,,110
2.144240495,IP A,IP B,6,8864,22,,,66
2.486529706,IP B,IP A,6,22,8864,,,110
2.654396194,IP A,IP B,6,8864,22,,,66
2.998594998,IP B,IP A,6,22,8864,,,110
3.166174961,IP A,IP B,6,8864,22,,,66
3.510390884,IP B,IP A,6,22,8864,,,110
3.678979722,IP A,IP B,6,8864,22,,,66
4.022549049,IP B,IP A,6,22,8864,,,110
4.192166549,IP A,IP B,6,8864,22,,,66
4.534567162,IP B,IP A,6,22,8864,,,110
4.701631213,IP A,IP B,6,8864,22,,,66
4.85596887,IP A,IP B,6,6138,443,,,123
4.856009818,IP A,IP B,6,6138,443,,,105
4.856064762,IP B,IP A,6,443,6138,,,66
4.857310235,IP B,IP A,6,443,6138,,,2922
4.857319718,IP B,IP A,6,443,6138,,,2922
4.857376491,IP B,IP A,6,443,6138,,,2922
4.857409894,IP B,IP A,6,443,6138,,,2922
4.857443737,IP B,IP A,6,443,6138,,,2922
4.896580641,IP A,IP B,6,6138,443,,,66
4.896620066,IP B,IP A,6,443,6138,,,2922
4.896637689,IP A,IP B,6,6138,443,,,66
4.896650852,IP A,IP B,6,6138,443,,,66
4.896678114,IP B,IP A,6,443,6138,,,742
4.897141916,IP A,IP B,6,6138,443,,,66
4.897148505,IP A,IP B,6,6138,443,,,66
4.898829481,IP A,IP B,6,6138,443,,,66
4.937874017,IP A,IP B,6,6138,443,,,66
4.937901288,IP A,IP B,6,6138,443,,,66
4.937920694,IP A,IP B,6,6138,443,,,66
5.046427644,IP B,IP A,6,22,8864,,,110
5.222088135,IP A,IP B,6,8864,22,,,66
5.558501012,IP B,IP A,6,22,8864,,,110
5.726162516,IP A,IP B,6,8864,22,,,66
5.940741148,IP A,IP B,6,6138,443,,,157
5.94078722,IP A,IP B,6,6138,443,,,308
5.940841423,IP B,IP A,6,443,6138,,,66
5.941081031,IP B,IP A,6,443,6138,,,101
5.942071496,IP B,IP A,6,443,6138,,,758
5.980296353,IP A,IP B,6,6138,443,,,66
5.981101929,IP A,IP B,6,6138,443,,,66
6.070453223,IP B,IP A,6,22,8864,,,110
6.146339987,IP A,IP B,6,6138,443,,,136
6.146375842,IP A,IP B,6,6138,443,,,284
6.146420458,IP B,IP A,6,443,6138,,,66
6.146634516,IP B,IP A,6,443,6138,,,101
6.147524565,IP B,IP A,6,443,6138,,,405
6.197036363,IP A,IP B,6,6138,443,,,66
6.197055942,IP A,IP B,6,6138,443,,,66
6.237934689,IP A,IP B,6,8864,22,,,66
6.311874014,IP A,IP B,6,6138,443,,,136
6.311893428,IP A,IP B,6,6138,443,,,289
6.311939261,IP B,IP A,6,443,6138,,,66
6.312188804,IP B,IP A,6,443,6138,,,101
6.313006073,IP B,IP A,6,443,6138,,,760
6.351436521,IP A,IP B,6,6138,443,,,66
6.351448487,IP A,IP B,6,6138,443,,,66
6.52997939,IP A,IP B,6,6138,443,,,136
6.530176633,IP B,IP A,6,443,6138,,,101
6.530278048,IP A,IP B,6,6138,443,,,322
6.531340534,IP B,IP A,6,443,6138,,,569
6.570165423,IP A,IP B,6,6138,443,,,66
6.570175191,IP A,IP B,6,6138,443,,,66
6.582458347,IP B,IP A,6,22,8864,,,110
6.706791698,IP A,IP B,6,6138,443,,,136
6.706960206,IP A,IP B,6,6138,443,,,331
6.706995177,IP B,IP A,6,443,6138,,,66
6.707015991,IP B,IP A,6,443,6138,,,101
6.708002378,IP B,IP A,6,443,6138,,,509
6.747626043,IP A,IP B,6,6138,443,,,66
6.747639824,IP A,IP B,6,6138,443,,,66
6.751590265,IP A,IP B,6,8864,22,,,66
6.87027556,IP A,IP B,6,6138,443,,,136
6.870301159,IP A,IP B,6,6138,443,,,622
6.870343885,IP B,IP A,6,443,6138,,,66
6.870594492,IP B,IP A,6,443,6138,,,101
6.871831927,IP B,IP A,6,443,6138,,,2922
6.871883509,IP B,IP A,6,443,6138,,,163
6.909335036,IP A,IP B,6,6138,443,,,66
6.910182698,IP A,IP B,6,6138,443,,,66
6.91020548,IP A,IP B,6,6138,443,,,66
6.910733264,IP A,IP B,6,6138,443,,,66
7.024556974,IP A,IP B,6,6138,443,,,140
7.024730608,IP B,IP A,6,443,6138,,,101
7.025761464,IP A,IP B,6,6138,443,,,652
7.027408549,IP A,IP B,6,6138,443,,,137
7.02743634,IP B,IP A,6,443,6138,,,66
7.027822322,IP B,IP A,6,443,6138,,,2922
7.027831509,IP B,IP A,6,443,6138,,,1485
7.042649348,IP B,IP A,6,443,6138,,,768
7.064469588,IP A,IP B,6,6138,443,,,66
7.066490456,IP A,IP B,6,6138,443,,,66
7.066714892,IP A,IP B,6,6138,443,,,66
7.06673631,IP A,IP B,6,6138,443,,,66
7.083189099,IP A,IP B,6,6138,443,,,66
7.094495168,IP B,IP A,6,22,8864,,,110
7.104269553,IP A,IP B,6,6138,443,,,140
7.104284392,IP A,IP B,6,6138,443,,,823
7.104313209,IP B,IP A,6,443,6138,,,66
7.104529756,IP B,IP A,6,443,6138,,,101
7.105845392,IP B,IP A,6,443,6138,,,2167
7.14352596,IP A,IP B,6,6138,443,,,66
7.143784132,IP A,IP B,6,6138,443,,,66
7.260646321,IP A,IP B,6,8864,22,,,66
7.60654162,IP B,IP A,6,22,8864,,,110
7.647639281,IP A,IP B,6,6138,443,,,140
7.647682748,IP A,IP B,6,6138,443,,,387
7.647697138,IP B,IP A,6,443,6138,,,78
7.64770795,IP A,IP B,6,6138,443,,,1494
7.647714532,IP B,IP A,6,443,6138,,,66
7.648002564,IP B,IP A,6,443,6138,,,101
7.649667342,IP B,IP A,6,443,6138,,,2922
7.649677812,IP B,IP A,6,443,6138,,,1227
7.687944916,IP A,IP B,6,6138,443,,,66
7.688515691,IP A,IP B,6,6138,443,,,66
7.688910031,IP A,IP B,6,6138,443,,,66
7.688915796,IP A,IP B,6,6138,443,,,66
7.771263951,IP A,IP B,6,8864,22,,,66
7.870052691,IP A,IP B,6,6138,443,,,136
7.870076191,IP A,IP B,6,6138,443,,,208
7.870118727,IP B,IP A,6,443,6138,,,66
7.870358616,IP B,IP A,6,443,6138,,,101
7.871012765,IP B,IP A,6,443,6138,,,1587
7.909284631,IP A,IP B,6,6138,443,,,66
7.909710508,IP A,IP B,6,6138,443,,,66
7.978884203,IP A,IP B,6,6138,443,,,208
7.978911881,IP B,IP A,6,443,6138,,,78
7.978920464,IP A,IP B,6,6138,443,,,136
7.978930631,IP B,IP A,6,443,6138,,,66
7.979208047,IP B,IP A,6,443,6138,,,101
8.019901677,IP A,IP B,6,6138,443,,,66
8.118526813,IP B,IP A,6,22,8864,,,110
8.2870749,IP A,IP B,6,8864,22,,,66
8.630437572,IP B,IP A,6,22,8864,,,110
8.796221406,IP A,IP B,6,8864,22,,,66
8.85324461,IP A,IP B,6,6138,443,,,140
8.853271183,IP A,IP B,6,6138,443,,,779
8.853322115,IP B,IP A,6,443,6138,,,66
8.853549825,IP B,IP A,6,443,6138,,,101
8.854671846,IP B,IP A,6,443,6138,,,1224
8.892642227,IP A,IP B,6,6138,443,,,66
8.892666505,IP A,IP B,6,6138,443,,,66
9.142555593,IP B,IP A,6,22,8864,,,110
9.21467165,IP A,IP B,6,8864,22,,,66
9.654162099,IP B,IP A,6,22,8864,,,110
9.726607541,IP A,IP B,6,8864,22,,,66
10.08396406,IP A,IP B,6,6138,443,,,140
10.08400668,IP A,IP B,6,6138,443,,,778
10.08405696,IP B,IP A,6,443,6138,,,66
10.08430888,IP B,IP A,6,443,6138,,,101
10.0855267,IP B,IP A,6,443,6138,,,1223
10.1252923,IP A,IP B,6,6138,443,,,66
10.12530522,IP A,IP B,6,6138,443,,,66
10.16646533,IP B,IP A,6,22,8864,,,110
10.24013717,IP A,IP B,6,8864,22,,,66
10.67848856,IP B,IP A,6,22,8864,,,110
10.75010222,IP A,IP B,6,8864,22,,,66
11.19055126,IP B,IP A,6,22,8864,,,110
11.26254379,IP A,IP B,6,8864,22,,,66
11.70254169,IP B,IP A,6,22,8864,,,110
11.77433633,IP A,IP B,6,8864,22,,,66
12.21442978,IP B,IP A,6,22,8864,,,110
12.2869015,IP A,IP B,6,8864,22,,,66
12.72643275,IP B,IP A,6,22,8864,,,110
12.79868523,IP A,IP B,6,8864,22,,,66
12.86420037,IP C,IP B,6,48018,443,,,162
12.86549402,IP B,IP C,6,443,48018,,,7306
12.8655063,IP B,IP C,6,443,48018,,,7306
12.86717425,IP C,IP B,6,48018,443,,,66
12.86719583,IP B,IP C,6,443,48018,,,3398
12.86721064,IP C,IP B,6,48018,443,,,66
12.86721626,IP C,IP B,6,48018,443,,,66
12.86873032,IP C,IP B,6,48018,443,,,66
13.23853534,IP B,IP A,6,22,8864,,,110
13.31216794,IP A,IP B,6,8864,22,,,66
13.38090419,IP C,IP B,6,48018,443,,,399
13.38120502,IP B,IP C,6,443,48018,,,101
13.38221317,IP B,IP C,6,443,48018,,,758
13.38267709,IP C,IP B,6,48018,443,,,66
13.38369877,IP C,IP B,6,48018,443,,,66
13.53423277,IP C,IP B,6,48018,443,,,354
13.5345329,IP B,IP C,6,443,48018,,,101
13.53555193,IP B,IP C,6,443,48018,,,405
13.53599294,IP C,IP B,6,48018,443,,,66
13.53702334,IP C,IP B,6,48018,443,,,66
13.68854742,IP C,IP B,6,48018,443,,,359
13.68887042,IP B,IP C,6,443,48018,,,101
13.68978738,IP B,IP C,6,443,48018,,,760
13.69042079,IP C,IP B,6,48018,443,,,66
13.69129062,IP C,IP B,6,48018,443,,,66
13.7504614,IP B,IP A,6,22,8864,,,110
13.82413409,IP A,IP B,6,8864,22,,,66
13.84185284,IP C,IP B,6,48018,443,,,392
13.8422517,IP B,IP C,6,443,48018,,,101
13.84309856,IP B,IP C,6,443,48018,,,569
13.84377698,IP C,IP B,6,48018,443,,,66
13.84456679,IP C,IP B,6,48018,443,,,66
13.99472685,IP C,IP B,6,48018,443,,,401
13.99501377,IP B,IP C,6,443,48018,,,101
13.9958491,IP B,IP C,6,443,48018,,,509
13.9965002,IP C,IP B,6,48018,443,,,66
13.99734263,IP C,IP B,6,48018,443,,,66
14.13724063,IP C,IP B,6,48018,443,,,1134
14.13728014,IP C,IP B,6,48018,443,,,137
14.13733986,IP B,IP C,6,443,48018,,,66
14.1380666,IP B,IP C,6,443,48018,,,4376
14.13948672,IP B,IP C,6,443,48018,,,3019
